,text
160,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
161,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
162,"{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.8625}"
163,"{'neg': 0.229, 'neu': 0.602, 'pos': 0.169, 'compound': -0.25}"
164,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.3818}"
165,"{'neg': 0.214, 'neu': 0.636, 'pos': 0.15, 'compound': -0.2732}"
166,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.6908}"
167,"{'neg': 0.276, 'neu': 0.263, 'pos': 0.461, 'compound': 0.5859}"
168,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}"
169,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.1531}"
170,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}"
171,"{'neg': 0.466, 'neu': 0.534, 'pos': 0.0, 'compound': -0.7269}"
172,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
173,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
174,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.6908}"
175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
176,"{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.8074}"
177,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
178,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
179,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5994}"
180,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.2023}"
181,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}"
182,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
183,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}"
184,"{'neg': 0.139, 'neu': 0.723, 'pos': 0.139, 'compound': 0.0}"
185,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
186,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}"
187,"{'neg': 0.218, 'neu': 0.606, 'pos': 0.176, 'compound': -0.1779}"
188,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
189,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
190,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.25}"
191,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.802}"
192,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
193,"{'neg': 0.197, 'neu': 0.657, 'pos': 0.146, 'compound': -0.1779}"
194,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
195,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
196,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}"
197,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
198,"{'neg': 0.0, 'neu': 0.07, 'pos': 0.93, 'compound': 0.9042}"
199,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.5574}"
200,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
201,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}"
202,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}"
203,"{'neg': 0.197, 'neu': 0.657, 'pos': 0.146, 'compound': -0.1779}"
204,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}"
205,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
206,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.5216}"
207,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}"
208,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4201}"
209,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.7506}"
210,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
211,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.4549}"
212,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}"
213,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
214,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}"
215,"{'neg': 0.068, 'neu': 0.524, 'pos': 0.408, 'compound': 0.7579}"
216,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
217,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}"
218,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
219,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.6486}"
220,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.25}"
221,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}"
222,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
223,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.5423}"
224,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
225,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.25}"
226,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6124}"
227,"{'neg': 0.192, 'neu': 0.616, 'pos': 0.192, 'compound': 0.0}"
228,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
229,"{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.681}"
230,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
231,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
232,"{'neg': 0.462, 'neu': 0.377, 'pos': 0.16, 'compound': -0.7506}"
233,"{'neg': 0.0, 'neu': 0.227, 'pos': 0.773, 'compound': 0.7783}"
234,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.5994}"
235,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
236,"{'neg': 0.164, 'neu': 0.685, 'pos': 0.151, 'compound': -0.0516}"
237,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.4449}"
238,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}"
239,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}"
240,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}"
241,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}"
242,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4588}"
243,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
244,"{'neg': 0.38, 'neu': 0.417, 'pos': 0.203, 'compound': -0.5267}"
245,"{'neg': 0.133, 'neu': 0.442, 'pos': 0.425, 'compound': 0.6486}"
246,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5106}"
247,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
248,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
249,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}"
250,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
251,"{'neg': 0.097, 'neu': 0.69, 'pos': 0.214, 'compound': 0.4019}"
252,"{'neg': 0.0, 'neu': 0.45, 'pos': 0.55, 'compound': 0.8615}"
253,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
254,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
255,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
256,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
257,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
258,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}"
259,"{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.7026}"
260,"{'neg': 0.196, 'neu': 0.633, 'pos': 0.171, 'compound': -0.1027}"
261,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}"
262,"{'neg': 0.0, 'neu': 0.259, 'pos': 0.741, 'compound': 0.8225}"
263,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
264,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
265,"{'neg': 0.122, 'neu': 0.67, 'pos': 0.208, 'compound': 0.1045}"
266,"{'neg': 0.514, 'neu': 0.324, 'pos': 0.162, 'compound': -0.8176}"
267,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
268,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}"
269,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}"
270,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
271,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7999}"
272,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
273,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
274,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
275,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
276,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
277,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}"
278,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
279,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.1779}"
280,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
281,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.5574}"
282,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}"
283,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.6808}"
284,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}"
285,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
286,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.743}"
287,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
288,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}"
289,"{'neg': 0.229, 'neu': 0.602, 'pos': 0.169, 'compound': -0.25}"
290,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}"
291,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
292,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
293,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1531}"
294,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
295,"{'neg': 0.234, 'neu': 0.645, 'pos': 0.121, 'compound': -0.34}"
296,"{'neg': 0.567, 'neu': 0.0, 'pos': 0.433, 'compound': -0.2263}"
297,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.7096}"
298,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}"
299,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}"
300,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
301,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.1531}"
302,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
303,"{'neg': 0.246, 'neu': 0.571, 'pos': 0.183, 'compound': -0.2732}"
304,"{'neg': 0.208, 'neu': 0.653, 'pos': 0.139, 'compound': -0.2153}"
305,"{'neg': 0.145, 'neu': 0.724, 'pos': 0.132, 'compound': -0.0516}"
306,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
